Date,AAPL,MSFT,DAL,TSLA
2019-10-25,60.790001,139.339996,139.339996,59.543999
2019-10-28,61.855000,144.399994,144.399994,65.508003
2019-10-29,62.242500,144.080002,144.080002,63.998001
2019-10-30,61.189999,143.520004,143.520004,62.599998
2019-10-31,61.810001,144.899994,144.899994,62.619999
2019-11-01,62.384998,144.259995,144.259995,63.264000
2019-11-04,64.332497,144.830002,144.830002,62.959999
2019-11-05,64.262497,144.970001,144.970001,63.924000
2019-11-06,64.192497,144.369995,144.369995,63.599998
2019-11-07,64.684998,143.839996,143.839996,65.828003
2019-11-08,64.672501,143.979996,143.979996,66.900002
2019-11-11,64.574997,145.339996,145.339996,68.790001
2019-11-12,65.387497,146.279999,146.279999,69.379997
2019-11-13,65.282501,146.740005,146.740005,71.000000
2019-11-14,65.937500,147.020004,147.020004,69.222000
2019-11-15,65.919998,148.929993,148.929993,70.127998
2019-11-18,66.449997,150.070007,150.070007,70.584000
2019-11-19,66.974998,150.880005,150.880005,70.349998
2019-11-20,66.385002,150.309998,150.309998,72.000000
2019-11-21,65.922501,149.399994,149.399994,70.902000
2019-11-22,65.647499,150.070007,150.070007,68.031998
2019-11-25,65.677498,150.000000,150.000000,68.863998
2019-11-26,66.735001,151.360001,151.360001,67.054001
2019-11-27,66.394997,152.330002,152.330002,66.223999
2019-11-29,66.650002,152.100006,152.100006,66.222000
2019-12-02,66.817497,151.809998,151.809998,65.879997
2019-12-03,64.577499,147.490005,147.490005,66.524002
2019-12-04,65.267502,150.139999,150.139999,67.550003
2019-12-05,65.947502,150.050003,150.050003,66.566002
2019-12-06,66.870003,150.990005,150.990005,67.000000
2019-12-09,67.500000,151.070007,151.070007,67.318001
2019-12-10,67.150002,151.289993,151.289993,67.991997
2019-12-11,67.202499,151.539993,151.539993,70.375999
2019-12-12,66.945000,151.649994,151.649994,70.984001
2019-12-13,67.864998,153.000000,153.000000,72.209999
2019-12-16,69.250000,155.110001,155.110001,72.510002
2019-12-17,69.892502,155.449997,155.449997,75.797997
2019-12-18,69.949997,154.300003,154.300003,76.125999
2019-12-19,69.875000,154.000000,154.000000,79.463997
2019-12-20,70.557503,157.350006,157.350006,82.057999
2019-12-23,70.132500,158.119995,158.119995,82.356003
2019-12-24,71.172501,157.479996,157.479996,83.671997
2019-12-26,71.205002,157.559998,157.559998,85.582001
2019-12-27,72.779999,159.449997,159.449997,87.000000
2019-12-30,72.364998,158.990005,158.990005,85.758003
2019-12-31,72.482498,156.770004,156.770004,81.000000
